"job_title";"job_salary";"job_requirement";"job_addr";"job_exp";"job_edu";"job_tags";"company_name";"company_employee_num";"company_type"
"Python";"10K-15K";"1). 后端开发工程师，使用python语言，框架使用django框架1.有2年左右的python下实际的项目开发的经验。2.有一定的web前端技能，了解或熟悉HTML、CSS、Javascript3.对于数据库表、查询语句的性能优化";"深圳 罗湖区 笋岗";"1-3年";"不限";"后端开发Python";"好磨坊";"20-99人";"贸易/进出口"
"Python开发工程师";"6K-12K";"岗位职责：负责基于odoo技术框架的企业应用开发与测试。任职要求：1. 热爱编程，有较强的自学能力和技术攻关能力；2. 具备良好的团队协作意识和沟通能力3. 熟悉Linux操作系统；4. 熟悉至少一种关系型数据库，能熟练编写S";"深圳 南山区";"经验不限";"大专";"ERPPython后端开发";"知链科技";"0-20人";"计算机软件"
"Python高级开发工程师";"20K-35K";"职位描述1. 熟悉在Unix/Linux平台上的Python编程; 了解常用的通讯协议处理模块，XML，JSON处理模块，熟悉格式化文件处理2. 有较强的编码能力及良好的编程风格;3. 对数据结构和算法有比较好的理解和实践;";"深圳 南山区 科技园";"3-5年";"本科";"PythonTwistedscrapy";"藤讯科技";"100-499人";"移动互联网"
"Python开发工程师";"10K-20K";"岗位职责：负责公司云端互联网产品的开发，包括项目框架搭建、前后端功能实现等。  岗位要求：1、本科及以上学历，1年以上的Python开发经验；2、熟悉Python语言，掌握函数式和面向对象编程，能够编写模块化、可重用、易";"深圳 南山区";"经验不限";"本科";"C/C++LinuxPython";"深信服科技";"1000-9999人";"计算机软件"
"Python开发";"10K-18K";"岗位职责：1.编写AI实验室Python工具类和服务程序2.优化程序岗位要求：-2年以上Python  编程经验-熟悉Linux系统及Shell编程- 深刻理解软件设计，深入理解Python特性，编程风格良好-熟";"深圳 福田区 石厦";"3-5年";"大专";"Python";"兴融联科技";"100-499人";"企业服务"
"Python交易开发工程师";"14K-20K";"技能Skill:     1. 熟悉在Unix/Linux平台上的Python编程; 了解常用的通讯协议处理模块，XML，JSON处理模块，熟悉格式化文件处理2. 有较强的编码能力及良好的编程风格;3. 对数据结构和算法有比较好";"深圳 南山区 科技园";"3-5年";"本科";"Python";"Gateway Technology";"100-499人";"互联网金融"
"python 软件工程师";"6K-10K";"Web开发人员需要具备丰富的Web前端或后端知识， 时刻具备紧迫感，需要快速交付高质量的代码，不断创造新的Web产品和优化现有的产品和服务。工作职责：使用Python编写Web后端代码熟悉敏捷开发，编写高质量的，";"深圳 福田区 华强北";"经验不限";"本科";"Pythonpython爬虫Javascript";"超体大数据(深圳)";"0-20人";"数据服务"
"高级后台开发工程师（GO/java/python)）";"16K-30K";"职位描述：1、负责智能产品后端API开发；2、负责智能产品后端程序的架构和优化；3、负责智能产品后端新需求的系统设计和实现4、机器学习等新技术的预研5、后端开发等相关工作职位要求：1、本科及以上学历，3年以上";"深圳 南山区 西丽";"3-5年";"本科";"GOJavaPython";"Anker";"500-999人";"电子商务"
"Python开发工程师";"18K-36K";"岗位职责：1、参与开发计算机视觉PaaS平台；2、与算法科学家合作，将最前沿最先进的机器视觉算法实现成工业级产品；3、持续改善服务，优化系统性能，提高算法精度。任职要求：1、一年以上 Python 服务端开发经验；2";"深圳 盐田区 沙头角";"1-3年";"本科";"Python";"码隆科技";"20-99人";"移动互联网"
"Python讲师";"15K-30K";"一：岗位职责：1、负责Python课程体系设计和完善；2、负责Python课程爬虫、数据分析、网站开发的讲授；3、完成领导交办的其它工作。任职要求：1. 至少2年以上Python编程经验；2.";"深圳 宝安区 新安";"经验不限";"大专";"pythonWeb前端培训";"新研科技";"100-499人";"在线教育"
"Python";"9K-15K";"数据爬取。数据分析。数据挖掘";"深圳 龙岗区 坂田";"1-3年";"本科";"数据挖掘数据库数据采集";"深圳德鹏教育";"20-99人";"在线教育"
"Python";"10K-20K";"负责题库数据的爬取清洗。入库。自动校对。本地word文档解释存入数据库。";"深圳 龙岗区 坂田";"1-3年";"本科";"python爬虫数据库系统架构";"深圳德鹏教育";"20-99人";"在线教育"
"Python/C/C++";"10K-20K";"本科以上学历1-2年开发经验熟悉或者精通C/C++或者Python,良好的数据结构和算法基础熟悉Linux环境编程";"深圳 南山区";"1-3年";"本科";"C/C++python爬虫Python";"同方鼎欣";"1000-9999人";"互联网"
"Python";"15K-25K";"1.负责python教学2.教学群体主要是大学生3.有准备好的课件，可以加入自己的项目元素要求:3年以上python开发经验，热爱教育行业，沟通表达能力良好上班时间朝九晚六，双休福利待遇:五险一金，年假，旅游，晋升空间";"深圳 宝安区";"3-5年";"本科";"Pythonpython爬虫";"千锋互联科技";"500-999人";"在线教育"
"Python开发工程师";"9K-10K";"1.至少2年以上云计算开发经验，熟悉C或python语言经验者优先2.熟悉linux/uinx操作系统基础原理，熟练使用linux系统3.熟悉TCP/IP、HTTP等协议，有良好的网络、数据传输、安全、计算机体系结构方面的知识3";"深圳 南山区";"1-3年";"大专";"PythonC/C++Linux";"同方鼎欣公司";"1000-9999人";"计算机软件"
"python开发工程师";"9K-14K";"岗位职责：负责金融系统设计、开发等工作。岗位要求：1、本科以上学历，计算机相关专业毕业；2、必须具有两年以上的C++或者Python项目开发经历；3、有金融相关项目开发经历者优先考虑；4、沟通能力良好，逻辑思维较强。";"深圳 南山区 科技园";"3-5年";"本科";"Pythonpython爬虫爬虫工程师";"亿达信息";"1000-9999人";"计算机软件"
"高级Python开发工程师";"20K-30K";"一、岗位职责：1. 负责线上系统的优化及维护；2. 完成项目的需求设计及开发；3. 负责项目开发管理和项目架构优化；4. 负责培训预研新技术和业务优化方案。二、任职要求：1. 本科及以上学历，5年及以上的互联网开";"深圳 南山区 科技园";"5-10年";"本科";"Pythonweb开发";"微思敦营销";"100-499人";"互联网"
"Python开发工程师";"15K-25K";"岗位职责：1、负责线上系统的优化及维护；2、完成项目的需求设计及开发；3、负责开发过程中相关文档的编写；4、保质保量完成上级安排的工作；任职资格：1、本科及以上学历，2年以上的互联网开发经验；2、精通Python Web开发";"深圳 南山区 科技园";"3-5年";"本科";"Linux后端开发Python";"微思敦";"100-499人";"移动互联网"
"Python工程师";"10K-15K";"岗位职责：1、参与分布式爬虫和数据采集系统的架构设计和研发；2、参与分布式爬虫模块服务架构和数据存储架构的设计和研发；3、负责日常网络数据抓取需求的实现及采集数据的质量监控；4、负责公司核心业务及产品的安全测试、安全审核、安";"深圳 南山区 蛇口";"1-3年";"大专";"FlaskCeleryscrapy";"达飞金控";"1000-9999人";"互联网金融"
"Python工程师";"13K-18K";"1．  精通Python标准 GUI库(TkInter)开发UI2．  精通Python中的正则表达式的开发3．  精通Python中的文件读写操作、数据库读写操作";"深圳 南山区 科技园";"3-5年";"不限";"Python";"东恒尚科";"100-499人";"计算机软件"
"python开发（游戏客户端）";"5K-10K";"【岗位职责】 1、使用python开发MMORPG游戏的逻辑及UI开发；2、负责PC端游戏客户端主逻辑的开发。 【岗位要求】1、半年以上使用C/C++/python开发项目的经验，有游戏开发经验者优先； 2、熟悉Mi";"深圳 南山区 科技园";"应届生";"本科";"PythonC/C++";"深圳淘乐";"100-499人";"游戏"
"Python开发工程师";"10K-15K";"一、岗位职责：1. 负责线上系统的优化及维护；2. 完成项目的需求设计及开发；3. 负责开发过程中相关文档的编写；4. 保质保量完成上级安排的工作。二、任职要求：1. 本科及以上学历，2年以上的互联网开发经验；";"深圳 南山区 科技园";"1-3年";"本科";"脚本开发Python后端开发";"微思敦营销";"100-499人";"互联网"
"Python开发工程师";"12K-20K";"岗位职责：1. 负责业务系统后端业务逻辑的开发和优化工作；2. 负责优化后端服务性能；岗位要求：1. 计算机相关专业，2年以上python开发使用经验，对web开发相关基础基础有比较清楚的理解；2. 熟练使用pyth";"深圳 南山区";"经验不限";"大专";"Python";"博雅互动";"500-999人";"游戏"
"C++/python讲师";"8K-15K";"培训讲师岗位职责：1、主要负责讲授青少年编程课程；2、按照公司制定的教学计划，高质量完成教学任务；3、负责班级日常管理和维护工作；4、负责学生辅导和教学答疑等工作；5、参与优化和创新教学课程体系；6、配合其他部门完成";"深圳";"1-3年";"本科";"C/C++Python";"小码教育";"100-499人";"在线教育"
